Time.Stamp, Delta.Time, PM_2.5, PM_10
2019-10-22 15:21:15, 2,   8.20,  13.50
2019-10-22 15:21:17, 4,   8.60,  14.80
2019-10-22 15:21:19, 6,   8.70,  14.60
2019-10-22 15:21:21, 8,   8.70,  14.20
2019-10-22 15:21:23, 11,   8.70,  13.40
2019-10-22 15:21:25, 13,   8.70,  13.50
2019-10-22 15:21:27, 15,   8.90,  13.10
2019-10-22 15:21:29, 17,   9.10,  13.30
2019-10-22 15:21:31, 19,   9.10,  12.90
2019-10-22 15:21:34, 21,   9.00,  12.60
2019-10-22 15:21:36, 23,   9.20,  12.60
2019-10-22 15:21:38, 25,   9.00,  11.80
2019-10-22 15:21:40, 27,   9.10,  11.80
2019-10-22 15:21:42, 29,   9.30,  11.70
2019-10-22 15:21:44, 32,   9.40,  12.00
2019-10-22 15:21:46, 34,   9.30,  11.10
2019-10-22 15:21:48, 36,   9.40,  11.50
2019-10-22 15:21:50, 38,   9.40,  11.30
2019-10-22 15:21:52, 40,   9.40,  11.30
2019-10-22 15:21:55, 42,   9.50,  10.90
2019-10-22 15:21:57, 44,   9.60,  11.00
2019-10-22 15:21:59, 46,   9.60,  11.00
2019-10-22 15:22:01, 48,   9.40,  10.60
2019-10-22 15:22:03, 50,   9.50,  10.80
2019-10-22 15:22:05, 53,   9.60,  11.10
2019-10-22 15:22:07, 55,   9.60,  11.50
2019-10-22 15:22:09, 57,   9.60,  11.50
2019-10-22 15:22:11, 59,   9.60,  11.80
2019-10-22 15:22:13, 61,   9.40,  11.50
2019-10-22 15:22:16, 63,   9.60,  12.80
2019-10-22 15:22:18, 65,   9.50,  12.70
2019-10-22 15:22:20, 67,   9.50,  12.40
2019-10-22 15:22:22, 69,   9.60,  12.80
2019-10-22 15:22:24, 71,   9.60,  13.20
2019-10-22 15:22:26, 74,   9.60,  13.20
2019-10-22 15:22:28, 76,   9.30,  12.80
2019-10-22 15:22:30, 78,   9.20,  13.10
2019-10-22 15:22:32, 80,   9.20,  13.80
2019-10-22 15:22:34, 82,   9.20,  14.10
2019-10-22 15:22:37, 84,   9.20,  14.40
2019-10-22 15:22:39, 86,   9.30,  14.70
2019-10-22 15:22:41, 88,   9.30,  14.70
2019-10-22 15:22:43, 90,   9.20,  14.10
2019-10-22 15:22:45, 92,   9.30,  13.70
2019-10-22 15:22:47, 95,   9.10,  12.80
2019-10-22 15:22:49, 97,   9.10,  13.10
2019-10-22 15:22:51, 99,   8.80,  12.30
2019-10-22 15:22:53, 101,   8.80,  12.00
2019-10-22 15:22:56, 103,   8.80,  12.10
2019-10-22 15:22:58, 105,   9.00,  13.20
2019-10-22 15:23:00, 107,   9.00,  13.20
2019-10-22 15:23:02, 109,   9.00,  12.30
2019-10-22 15:23:04, 111,   9.10,  11.80
2019-10-22 15:23:06, 114,   9.10,  11.40
2019-10-22 15:23:08, 116,   9.00,  10.60
2019-10-22 15:23:10, 118,   8.90,  10.50
2019-10-22 15:23:12, 120,   9.00,  10.60
2019-10-22 15:23:14, 122,   9.00,  10.60
2019-10-22 15:23:17, 124,   8.90,  10.30
2019-10-22 15:23:19, 126,   9.00,  10.20
2019-10-22 15:23:21, 128,   9.10,  10.50
2019-10-22 15:23:23, 130,   9.20,  10.50
2019-10-22 15:23:25, 132,   9.30,  10.60
2019-10-22 15:23:27, 135,   9.20,  10.30
2019-10-22 15:23:29, 137,   9.20,  10.20
2019-10-22 15:23:31, 139,   9.20,  10.20
2019-10-22 15:23:33, 141,   9.00,  10.00
2019-10-22 15:23:35, 143,   8.90,   9.90
2019-10-22 15:23:38, 145,   8.80,   9.80
2019-10-22 15:23:40, 147,   8.90,   9.90
2019-10-22 15:23:42, 149,   8.80,   9.80
2019-10-22 15:23:44, 151,   8.80,   9.80
2019-10-22 15:23:46, 153,   8.80,   9.90
2019-10-22 15:23:48, 156,   9.00,  10.50
2019-10-22 15:23:50, 158,   9.00,  10.80
2019-10-22 15:23:52, 160,   8.90,  10.40
2019-10-22 15:23:54, 162,   9.10,  10.50
2019-10-22 15:23:56, 164,   9.00,  10.80
2019-10-22 15:23:59, 166,   9.00,  10.80
2019-10-22 15:24:01, 168,   9.10,  11.00
2019-10-22 15:24:03, 170,   9.10,  11.20
2019-10-22 15:24:05, 172,   9.30,  11.50
2019-10-22 15:24:07, 174,   9.50,  11.70
2019-10-22 15:24:09, 177,   9.60,  11.90
2019-10-22 15:24:11, 179,   9.70,  11.70
2019-10-22 15:24:13, 181,   9.60,  11.80
2019-10-22 15:24:15, 183,   9.70,  12.10
2019-10-22 15:24:17, 185,   9.60,  11.70
2019-10-22 15:24:20, 187,   9.60,  11.60
2019-10-22 15:24:22, 189,   9.90,  13.50
2019-10-22 15:24:24, 191,   9.80,  13.30
2019-10-22 15:24:26, 193,   9.90,  14.20
2019-10-22 15:24:28, 195,   9.90,  14.80
2019-10-22 15:24:30, 198,  10.00,  14.90
2019-10-22 15:24:32, 200,   9.90,  14.90
2019-10-22 15:24:34, 202,   9.80,  14.80
2019-10-22 15:24:36, 204,   9.90,  15.20
2019-10-22 15:24:38, 206,  10.00,  15.80
2019-10-22 15:24:41, 208,   9.90,  15.90
2019-10-22 15:24:43, 210,   9.90,  15.40
2019-10-22 15:24:45, 212,  10.00,  14.70
2019-10-22 15:24:47, 214,  10.10,  14.90
2019-10-22 15:24:49, 216,  10.00,  14.60
2019-10-22 15:24:51, 219,   9.60,  12.80
2019-10-22 15:24:53, 221,   9.70,  13.00
2019-10-22 15:24:55, 223,   9.70,  11.90
2019-10-22 15:24:57, 225,   9.80,  11.40
2019-10-22 15:24:59, 227,   9.80,  11.70
2019-10-22 15:25:02, 229,   9.90,  11.80
2019-10-22 15:25:04, 231,  10.00,  11.80
2019-10-22 15:25:06, 233,   9.90,  11.40
2019-10-22 15:25:08, 235,   9.80,  10.90
2019-10-22 15:25:10, 238,   9.70,  10.80
2019-10-22 15:25:12, 240,   9.80,  10.90
2019-10-22 15:25:14, 242,   9.50,  10.60
2019-10-22 15:25:16, 244,   9.40,  10.50
2019-10-22 15:25:18, 246,   9.50,  10.70
2019-10-22 15:25:21, 248,   9.50,  10.70
2019-10-22 15:25:23, 250,   9.30,  11.00
2019-10-22 15:25:25, 252,   9.20,  11.00
2019-10-22 15:25:27, 254,   9.00,  10.80
2019-10-22 15:25:29, 256,   8.90,  10.90
2019-10-22 15:25:31, 259,   8.80,  10.70
2019-10-22 15:25:33, 261,   8.60,  10.60
2019-10-22 15:25:35, 263,   8.60,  11.60
2019-10-22 15:25:37, 265,   8.70,  12.00
2019-10-22 15:25:39, 267,   8.80,  12.50
2019-10-22 15:25:42, 269,   8.80,  12.60
2019-10-22 15:25:44, 271,   9.10,  12.90
2019-10-22 15:25:46, 273,   9.00,  12.90
2019-10-22 15:25:48, 275,   9.00,  13.90
2019-10-22 15:25:50, 277,   8.90,  13.50
2019-10-22 15:25:52, 280,   8.80,  12.80
2019-10-22 15:25:54, 282,   8.90,  12.60
2019-10-22 15:25:56, 284,   8.90,  12.90
2019-10-22 15:25:58, 286,   8.90,  12.60
2019-10-22 15:26:00, 288,   9.10,  12.90
2019-10-22 15:26:03, 290,   9.10,  12.40
2019-10-22 15:26:05, 292,   9.10,  11.80
2019-10-22 15:26:07, 294,   9.00,  11.70
2019-10-22 15:26:09, 296,   8.90,  11.20
2019-10-22 15:26:11, 298,   9.10,  11.90
2019-10-22 15:26:13, 301,   9.10,  12.50
2019-10-22 15:26:15, 303,   9.10,  12.60
2019-10-22 15:26:17, 305,   9.00,  11.80
2019-10-22 15:26:19, 307,   9.10,  11.80
2019-10-22 15:26:21, 309,   9.30,  12.60
2019-10-22 15:26:24, 311,   9.30,  12.80
2019-10-22 15:26:26, 313,   9.30,  12.50
2019-10-22 15:26:28, 315,   9.20,  12.70
2019-10-22 15:26:30, 317,   9.10,  13.40
2019-10-22 15:26:32, 319,   9.10,  13.60
2019-10-22 15:26:34, 322,   9.10,  13.10
2019-10-22 15:26:36, 324,   9.10,  12.90
2019-10-22 15:26:38, 326,   9.10,  13.10
2019-10-22 15:26:40, 328,   9.20,  13.00
2019-10-22 15:26:42, 330,   9.10,  12.10
2019-10-22 15:26:45, 332,   9.30,  12.20
2019-10-22 15:26:47, 334,   9.40,  13.10
2019-10-22 15:26:49, 336,   9.30,  13.40
2019-10-22 15:26:51, 338,   9.10,  12.80
2019-10-22 15:26:53, 340,   9.10,  12.80
2019-10-22 15:26:55, 343,   9.20,  13.30
2019-10-22 15:26:57, 345,   9.40,  13.00
2019-10-22 15:26:59, 347,   9.60,  12.70
2019-10-22 15:27:01, 349,   9.70,  12.70
2019-10-22 15:27:03, 351,   9.60,  12.80
2019-10-22 15:27:06, 353,   9.50,  12.50
2019-10-22 15:27:08, 355,   9.60,  12.40
2019-10-22 15:27:10, 357,   9.50,  12.40
2019-10-22 15:27:12, 359,   9.40,  12.30
2019-10-22 15:27:14, 362,   9.40,  12.20
2019-10-22 15:27:16, 364,   9.10,  12.00
2019-10-22 15:27:18, 366,   9.20,  10.90
2019-10-22 15:27:20, 368,   9.10,  11.20
2019-10-22 15:27:22, 370,   9.10,  10.70
2019-10-22 15:27:25, 372,   9.00,  10.10
2019-10-22 15:27:27, 374,   8.90,  10.00
2019-10-22 15:27:29, 376,   8.80,  10.50
2019-10-22 15:27:31, 378,   8.90,  10.40
2019-10-22 15:27:33, 380,   8.80,  10.30
2019-10-22 15:27:35, 383,   8.90,  10.50
2019-10-22 15:27:37, 385,   9.00,  11.10
2019-10-22 15:27:39, 387,   8.80,  10.80
2019-10-22 15:27:41, 389,   8.90,  10.90
2019-10-22 15:27:43, 391,   8.80,  10.80
2019-10-22 15:27:46, 393,   9.10,  10.90
2019-10-22 15:27:48, 395,   9.20,  11.10
2019-10-22 15:27:50, 397,   9.20,  11.70
2019-10-22 15:27:52, 399,   9.30,  12.10
2019-10-22 15:27:54, 401,   9.30,  13.00
2019-10-22 15:27:56, 404,   9.30,  12.60
2019-10-22 15:27:58, 406,   9.10,  12.00
2019-10-22 15:28:00, 408,   9.00,  11.70
2019-10-22 15:28:02, 410,   9.00,  12.00
2019-10-22 15:28:04, 412,   9.10,  12.10
2019-10-22 15:28:07, 414,   9.10,  11.40
2019-10-22 15:28:09, 416,   9.00,  11.90
2019-10-22 15:28:11, 418,   8.90,  11.80
2019-10-22 15:28:13, 420,   8.90,  11.90
2019-10-22 15:28:15, 422,   8.90,  12.00
2019-10-22 15:28:17, 425,   8.90,  12.40
2019-10-22 15:28:19, 427,   8.60,  11.40
2019-10-22 15:28:21, 429,   8.50,  10.90
2019-10-22 15:28:23, 431,   8.30,   9.60
2019-10-22 15:28:25, 433,   8.50,   9.70
2019-10-22 15:28:28, 435,   8.50,   9.80
2019-10-22 15:28:30, 437,   8.60,   9.90
2019-10-22 15:28:32, 439,   8.60,  10.80
2019-10-22 15:28:34, 441,   8.50,  11.50
2019-10-22 15:28:36, 443,   8.50,  11.40
2019-10-22 15:28:38, 446,   8.60,  12.30
2019-10-22 15:28:40, 448,   8.70,  12.20
2019-10-22 15:28:42, 450,   8.80,  12.90
2019-10-22 15:28:44, 452,   8.70,  13.00
2019-10-22 15:28:46, 454,   8.60,  12.40
2019-10-22 15:28:49, 456,   8.40,  12.20
2019-10-22 15:28:51, 458,   8.50,  12.50
2019-10-22 15:28:53, 460,   8.50,  12.50
2019-10-22 15:28:55, 462,   8.60,  13.00
2019-10-22 15:28:57, 464,   8.70,  13.40
2019-10-22 15:28:59, 467,   8.70,  13.70
2019-10-22 15:29:01, 469,   8.80,  13.00
2019-10-22 15:29:03, 471,   8.80,  12.20
2019-10-22 15:29:05, 473,   8.80,  12.20
2019-10-22 15:29:07, 475,   8.90,  12.50
2019-10-22 15:29:10, 477,   8.80,  11.10
2019-10-22 15:29:12, 479,   8.60,  10.20
2019-10-22 15:29:14, 481,   8.80,  10.30
2019-10-22 15:29:16, 483,   8.90,  10.90
2019-10-22 15:29:18, 485,   8.90,  11.00
2019-10-22 15:29:20, 488,   9.00,  11.10
2019-10-22 15:29:22, 490,   9.10,  11.20
2019-10-22 15:29:24, 492,   9.20,  11.40
2019-10-22 15:29:26, 494,   9.20,  10.90
2019-10-22 15:29:29, 496,   9.10,  11.00
2019-10-22 15:29:31, 498,   9.10,  10.70
2019-10-22 15:29:33, 500,   9.10,  10.60
2019-10-22 15:29:35, 502,   9.20,  11.00
2019-10-22 15:29:37, 504,   9.00,  10.70
2019-10-22 15:29:39, 507,   9.00,  10.80
2019-10-22 15:29:41, 509,   9.20,  11.80
2019-10-22 15:29:43, 511,   9.10,  11.70
2019-10-22 15:29:45, 513,   9.10,  11.90
2019-10-22 15:29:47, 515,   9.10,  11.30
2019-10-22 15:29:50, 517,   9.20,  11.20
2019-10-22 15:29:52, 519,   9.20,  11.70
2019-10-22 15:29:54, 521,   9.00,  11.50
2019-10-22 15:29:56, 523,   9.00,  11.90
2019-10-22 15:29:58, 525,   9.10,  11.80
2019-10-22 15:30:00, 528,   9.30,  12.60
2019-10-22 15:30:02, 530,   9.10,  12.50
2019-10-22 15:30:04, 532,   9.00,  12.30
2019-10-22 15:30:06, 534,   8.90,  12.00
2019-10-22 15:30:08, 536,   9.20,  12.30
2019-10-22 15:30:11, 538,   9.40,  12.20
2019-10-22 15:30:13, 540,   9.40,  11.30
2019-10-22 15:30:15, 542,   9.20,  11.00
2019-10-22 15:30:17, 544,   9.20,  12.50
2019-10-22 15:30:19, 546,   9.40,  13.20
2019-10-22 15:30:21, 549,   9.40,  13.40
2019-10-22 15:30:23, 551,   9.70,  16.10
2019-10-22 15:30:25, 553,   9.60,  16.30
2019-10-22 15:30:27, 555,   9.40,  15.90
2019-10-22 15:30:29, 557,   9.60,  16.60
2019-10-22 15:30:32, 559,   9.60,  16.20
2019-10-22 15:30:34, 561,   9.70,  16.60
2019-10-22 15:30:36, 563,   9.70,  17.00
2019-10-22 15:30:38, 565,   9.40,  16.80
2019-10-22 15:30:40, 567,   9.30,  16.90
2019-10-22 15:30:42, 570,   9.30,  17.10
2019-10-22 15:30:44, 572,   9.30,  17.10
2019-10-22 15:30:46, 574,   9.40,  16.90
2019-10-22 15:30:48, 576,   9.40,  16.00
2019-10-22 15:30:50, 578,   9.10,  15.20
2019-10-22 15:30:53, 580,   8.70,  12.90
2019-10-22 15:30:55, 582,   9.00,  13.40
2019-10-22 15:30:57, 584,   9.20,  13.50
2019-10-22 15:30:59, 586,   8.80,  12.50
2019-10-22 15:31:01, 588,   8.60,  12.00
2019-10-22 15:31:03, 591,   8.50,  11.50
2019-10-22 15:31:05, 593,   8.60,  11.80
2019-10-22 15:31:07, 595,   8.70,  12.10
2019-10-22 15:31:09, 597,   8.40,  12.70
2019-10-22 15:31:11, 599,   8.40,  12.50
2019-10-22 15:31:14, 601,   8.30,  12.20
2019-10-22 15:31:16, 603,   8.30,  12.00
2019-10-22 15:31:18, 605,   8.20,  11.90
2019-10-22 15:31:20, 607,   8.30,  12.10
2019-10-22 15:31:22, 609,   8.30,  11.00
2019-10-22 15:31:24, 612,   8.20,  10.90
2019-10-22 15:31:26, 614,   8.10,  10.40
2019-10-22 15:31:28, 616,   8.10,  10.20
2019-10-22 15:31:30, 618,   8.20,  11.40
2019-10-22 15:31:32, 620,   8.20,  11.50
2019-10-22 15:31:35, 622,   8.30,  11.60
2019-10-22 15:31:37, 624,   8.40,  10.90
2019-10-22 15:31:39, 626,   8.40,  10.00
2019-10-22 15:31:41, 628,   8.40,   9.90
2019-10-22 15:31:43, 631,   8.50,  10.10
2019-10-22 15:31:45, 633,   8.50,  10.00
2019-10-22 15:31:47, 635,   8.50,  10.10
2019-10-22 15:31:49, 637,   8.60,  10.40
2019-10-22 15:31:51, 639,   8.50,  10.30
2019-10-22 15:31:54, 641,   8.60,  10.50
2019-10-22 15:31:56, 643,   8.50,   9.90
2019-10-22 15:31:58, 645,   8.60,   9.90
2019-10-22 15:32:00, 647,   8.50,   9.50
2019-10-22 15:32:02, 649,   8.50,   9.50
2019-10-22 15:32:04, 652,   8.50,   9.40
2019-10-22 15:32:06, 654,   8.40,   9.40
2019-10-22 15:32:08, 656,   8.40,   9.40
2019-10-22 15:32:10, 658,   8.50,   9.50
2019-10-22 15:32:12, 660,   8.50,  10.00
2019-10-22 15:32:15, 662,   8.40,   9.90
2019-10-22 15:32:17, 664,   8.50,   9.70
2019-10-22 15:32:19, 666,   8.60,   9.80
2019-10-22 15:32:21, 668,   8.70,   9.90
2019-10-22 15:32:23, 670,   8.80,  10.10
2019-10-22 15:32:25, 673,   8.70,  10.60
2019-10-22 15:32:27, 675,   8.60,  10.50
2019-10-22 15:32:29, 677,   8.70,  10.40
2019-10-22 15:32:31, 679,   8.80,  11.00
2019-10-22 15:32:33, 681,   8.80,  10.80
2019-10-22 15:32:36, 683,   8.80,  10.90
2019-10-22 15:32:38, 685,   8.70,  10.60
2019-10-22 15:32:40, 687,   8.70,  10.70
2019-10-22 15:32:42, 689,   8.80,  10.00
2019-10-22 15:32:44, 691,   8.70,  10.00
2019-10-22 15:32:46, 694,   8.80,  10.50
2019-10-22 15:32:48, 696,   8.60,  10.60
2019-10-22 15:32:50, 698,   8.60,  10.80
2019-10-22 15:32:52, 700,   8.70,  11.20
